ticker_yf,event_date,decision_asof_date,label_anchor_trade_date,label_horizon_trade_date,horizon_trading_days,keep_return_threshold,forward_total_return,y_keep,index,company,sector_snapshot,industry_snapshot,peer_group,is_commodity_like,shares_outstanding_static,shares_source,market_cap_available,market_cap_is_approx,market_cap_approx_asof,ps_ttm,pe_ttm,forward_pe_snapshot,forward_pe_is_snapshot,fundamentals_available,fundamental_staleness_days,revenue_ttm_asof,net_income_ttm_asof,ocf_ttm_asof,roe_asof,rev_ttm_qoq_trend,ni_ttm_qoq_trend,ocf_ttm_qoq_trend,ps_ttm_peer_z,ps_ttm_peer_n,ps_ttm_peer_pctile,pe_ttm_peer_z,pe_ttm_peer_n,pe_ttm_peer_pctile
1528.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.026153744353330177,0.0,Hang Seng Stock Connect China AH Index Series,Red Star Macalline Group Corporation Ltd.,Real Estate,Real Estate Services,Real Estate||Real Estate Services,,741285634.0,yfinance_info_static_sharesOutstanding,1,1,4380323558.231754,,,,0,0,,,,,,,,,,0,,,0,
2611.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.047318640932904055,0.0,Hang Seng Stock Connect China AH Index Series,"Guotai Junan Securities Co., Ltd.",Financial Services,Capital Markets,Financial Services||Capital Markets,,3505759848.0,yfinance_info_static_sharesOutstanding,1,1,44453035942.513,,,,0,0,,,,,,,,,,1,,,1,
3958.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.11881195223923668,0.0,Hang Seng Stock Connect China AH Index Series,Orient Securities Company Limited,Financial Services,Capital Markets,Financial Services||Capital Markets,,1027162428.0,yfinance_info_static_sharesOutstanding,1,1,5187170457.315685,,,,0,0,,,,,,,,,,1,,,1,
6066.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.12540716574432842,0.0,Hang Seng Stock Connect China AH Index Series,"CSC Financial Co., Ltd.",Financial Services,Capital Markets,Financial Services||Capital Markets,,1261023762.0,yfinance_info_static_sharesOutstanding,1,1,7742685730.315164,,,,0,0,,,,,,,,,,1,,,1,
6178.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.09448817537695475,0.0,Hang Seng Stock Connect China AH Index Series,Everbright Securities Co. Ltd.,Financial Services,Capital Markets,Financial Services||Capital Markets,,704088800.0,yfinance_info_static_sharesOutstanding,1,1,4470963812.8528595,,,,0,0,,,,,,,,,,1,,,1,
6806.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.1008403352926398,0.0,Hang Seng Stock Connect China AH Index Series,"Shenwan Hongyuan Group Co., Ltd.",Financial Services,Capital Markets,Financial Services||Capital Markets,,2504000000.0,yfinance_info_static_sharesOutstanding,1,1,5959520286.560059,,,,0,0,,,,,,,,,,1,,,1,
6865.HK,2019-09-09,2019-09-09,2019-09-06,2019-12-03,60,0.0,-0.07505521784562452,0.0,Hang Seng Stock Connect China AH Index Series,"Flat Glass Group Co., Ltd.",Technology,Solar,Technology||Solar,,441715000.0,yfinance_info_static_sharesOutstanding,1,1,2000969042.6754951,,,,0,0,,,,,,,,,,0,,,0,
000555.SZ,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,-0.19607842718218582,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Digital China Information Service Company Ltd.,Technology,Software - Application,Technology||Software - Application,,975774437.0,yfinance_info_static_sharesOutstanding,1,1,17417574072.678406,,,,0,0,,,,,,,,,,0,,,0,
000967.SZ,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,0.221418200688412,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Infore Environment Technology Group Co. Ltd.,Industrials,Specialty Industrial Machinery,Industrials||Specialty Industrial Machinery,,3221012552.0,yfinance_info_static_sharesOutstanding,1,1,22257196242.83249,,,,0,0,,,,,,,,,,0,,,0,
300602.SZ,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,-0.20990586889430618,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen FRD Science & Technology Co., Ltd",Technology,Electronic Components,Technology||Electronic Components,,581863431.0,yfinance_info_static_sharesOutstanding,1,1,21113971050.281147,,,,0,0,,,,,,,,,,0,,,0,
300770.SZ,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,-0.014350002500054249,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Guangdong South New Media Co., Ltd",Communication Services,Entertainment,Communication Services||Entertainment,,227838591.0,yfinance_info_static_sharesOutstanding,1,1,22492731818.358833,,,,0,0,,,,,,,,,,0,,,0,
3319.HK,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,0.14208389422458967,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"A-Living Services Co., Ltd.",Real Estate,Real Estate Services,Real Estate||Real Estate Services,,1418540550.0,yfinance_info_static_sharesOutstanding,1,1,52415074404.76055,,,,0,0,,,,,,,,,,0,,,0,
3331.HK,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,0.1880952744256883,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Vinda International Holdings Ltd.,,,,,1203289984.0,yfinance_info_static_sharesOutstanding,1,1,25269089664.0,,,,0,0,,,,,,,,,,0,,,0,
603983.SS,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,0.0796103539404931,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Guangdong Marubi Biotechnology Co., Ltd",Consumer Defensive,Household & Personal Products,Consumer Defensive||Household & Personal Products,,401000000.0,yfinance_info_static_sharesOutstanding,1,1,30877000000.0,,,,0,0,,,,,,,,,,0,,,0,
6049.HK,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,0.2679082540207891,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Poly Property Development Co., Ltd.",Real Estate,Real Estate Services,Real Estate||Real Estate Services,,347000090.0,yfinance_info_static_sharesOutstanding,1,1,24220607340.960236,,,,0,0,,,,,,,,,,0,,,0,
6055.HK,2020-03-09,2020-03-09,2020-03-06,2020-06-04,60,0.0,-0.06192659923358268,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,China Tobacco International (HK) Co. Ltd.,Consumer Defensive,Tobacco,Consumer Defensive||Tobacco,,691680000.0,yfinance_info_static_sharesOutstanding,1,1,12062899569.396973,,,,0,0,,,,,,,,,,0,,,0,
002243.SZ,2020-09-07,2020-09-07,2020-09-04,2020-12-07,60,0.0,-0.1310782037829351,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen Beauty Star Co.,Ltd",Consumer Cyclical,Packaging & Containers,Consumer Cyclical||Packaging & Containers,,1210604219.0,yfinance_info_static_sharesOutstanding,1,1,17178473359.620255,,,,0,0,,,,,,,,,,0,,,0,
002791.SZ,2020-09-07,2020-09-07,2020-09-04,2020-12-07,60,0.0,-0.02224482126273919,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Guangdong Kinlong Hardware Products Co.,Ltd.",Industrials,Tools & Accessories,Industrials||Tools & Accessories,,353885013.0,yfinance_info_static_sharesOutstanding,1,1,48680421524.30292,,,,0,0,,,,,,,,,,0,,,0,
0041.HK,2020-09-07,2020-09-07,2020-09-04,2020-12-03,60,0.0,0.03970229079674459,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Great Eagle Holdings Ltd.,Real Estate,Real Estate - Diversified,Real Estate||Real Estate - Diversified,,749295345.0,yfinance_info_static_sharesOutstanding,1,1,15098300915.91651,,,,0,0,,,,,,,,,,0,,,0,
1268.HK,2020-09-07,2020-09-07,2020-09-04,2020-12-03,60,0.0,0.14417750964427412,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,China MeiDong Auto Holdings Ltd.,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical||Auto & Truck Dealerships,,1346247201.0,yfinance_info_static_sharesOutstanding,1,1,36415985759.9449,,,,0,0,,,,,,,,,,0,,,0,
2039.HK,2020-09-07,2020-09-07,2020-09-04,2020-12-03,60,0.0,0.499392554022019,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"China Int'l Marine Containers (Group) Co., Ltd.",Industrials,Metal Fabrication,Industrials||Metal Fabrication,,3089837895.0,yfinance_info_static_sharesOutstanding,1,1,16952909149.8398,,,,0,0,,,,,,,,,,0,,,0,
2356.HK,2020-09-07,2020-09-07,2020-09-04,2020-12-03,60,0.0,0.149171264896222,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Dah Sing Banking Group Ltd.,Financial Services,Banks - Regional,Financial Services||Banks - Regional,,1405752132.0,yfinance_info_static_sharesOutstanding,1,1,10177645113.928871,,,,0,0,,,,,,,,,,0,,,0,
600143.SS,2020-09-07,2020-09-07,2020-09-04,2020-12-07,60,0.0,-0.008596075605766251,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Kingfa Sci.&Tech. Co.,Ltd.",Basic Materials,Specialty Chemicals,Basic Materials||Specialty Chemicals,,2634826028.0,yfinance_info_static_sharesOutstanding,1,1,45977716198.81273,,,,0,0,,,,,,,,,,0,,,0,
9922.HK,2020-09-07,2020-09-07,2020-09-04,2020-12-03,60,0.0,0.034883630669011456,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Jiumaojiu International Holdings Ltd.,Consumer Cyclical,Restaurants,Consumer Cyclical||Restaurants,,1352939700.0,yfinance_info_static_sharesOutstanding,1,1,23270563872.211075,,,,0,0,,,,,,,,,,1,,,1,
9926.HK,2020-09-07,2020-09-07,2020-09-04,2020-12-03,60,0.0,-0.04770639402057053,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Akeso, Inc. - B",Healthcare,Biotechnology,Healthcare||Biotechnology,,921143176.0,yfinance_info_static_sharesOutstanding,1,1,25101151546.0,,,,0,0,,,,,,,,,,0,,,0,
002351.SZ,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,-0.04141615728121406,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Edifier Technology Co.,Ltd.",Technology,Consumer Electronics,Technology||Consumer Electronics,,889107000.0,yfinance_info_static_sharesOutstanding,1,1,13309932027.417183,,,,0,0,,,,,,,,,,0,,,0,
002850.SZ,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,0.3050953516321544,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen Kedali Industry Co.,Ltd",Technology,Electronic Components,Technology||Electronic Components,,275800741.0,yfinance_info_static_sharesOutstanding,1,1,17645731282.92844,,,,0,0,,,,,,,,,,0,,,0,
002967.SZ,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,0.26952386280846974,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Guangzhou Grg Metrology & Test Co.,Ltd.",Industrials,Consulting Services,Industrials||Consulting Services,,637279952.0,yfinance_info_static_sharesOutstanding,1,1,20074318488.0,,,,0,0,,,,,,,,,,0,,,0,
0909.HK,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,0.01040306120272394,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Ming Yuan Cloud Group Holdings Ltd.,Technology,Software - Application,Technology||Software - Application,,1856977020.0,yfinance_info_static_sharesOutstanding,1,1,71400767835.76103,,,,0,0,,,,,,,,,,0,,,0,
1209.HK,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,0.07598044967614803,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,China Resources Mixc Lifestyle Services Ltd.,Real Estate,Real Estate Services,Real Estate||Real Estate Services,,2282500000.0,yfinance_info_static_sharesOutstanding,1,1,93125998258.5907,,,,0,0,,,,,,,,,,0,,,0,
1999.HK,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,0.23243929917725792,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Man Wah Holdings Ltd.,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Consumer Cyclical||Furnishings, Fixtures & Appliances",,3878083200.0,yfinance_info_static_sharesOutstanding,1,1,60730782320.251465,,,,0,0,,,,,,,,,,0,,,0,
300348.SZ,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,0.1787233124835208,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen Sunline Tech Co., Ltd.",Technology,Software - Application,Technology||Software - Application,,813814830.0,yfinance_info_static_sharesOutstanding,1,1,13387254574.391441,,,,0,0,,,,,,,,,,0,,,0,
300737.SZ,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,0.4002266890367092,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Keshun Waterproof Technologies Co., Ltd.",Basic Materials,Chemicals,Basic Materials||Chemicals,,1109971544.0,yfinance_info_static_sharesOutstanding,1,1,16316581485.08973,,,,0,0,,,,,,,,,,0,,,0,
6666.HK,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,-0.41413476324846665,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Evergrande Property Services Group Ltd.,Real Estate,Real Estate Services,Real Estate||Real Estate Services,,10810811000.0,yfinance_info_static_sharesOutstanding,1,1,163675682251.5974,,,,0,0,,,,,,,,,,0,,,0,
6993.HK,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,-0.20977011927368927,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Blue Moon Group Holdings Ltd.,Consumer Defensive,Household & Personal Products,Consumer Defensive||Household & Personal Products,,5849021256.0,yfinance_info_static_sharesOutstanding,1,1,81418376329.76491,,,,0,0,,,,,,,,,,0,,,0,
9923.HK,2021-03-15,2021-03-15,2021-03-12,2021-06-10,60,0.0,-0.35549867656341616,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Yeahka Ltd.,Technology,Software - Infrastructure,Technology||Software - Infrastructure,,388366497.0,yfinance_info_static_sharesOutstanding,1,1,30370258880.19951,,,,0,0,,,,,,,,,,0,,,0,
0002.HK,2021-09-06,2021-09-06,2021-09-03,2021-12-02,60,0.0,-0.009108613690837042,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,CLP Holdings Ltd.,Utilities,Utilities - Regulated Electric,Utilities||Utilities - Regulated Electric,,2526450570.0,yfinance_info_static_sharesOutstanding,1,1,194157722449.44238,,,,0,0,,,,,,,,,,0,,,0,
000539.SZ,2021-09-06,2021-09-06,2021-09-03,2021-12-07,60,0.0,0.1788235832663143,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Guangdong Electric Power Development Co., Ltd",Utilities,Utilities - Renewable,Utilities||Utilities - Renewable,,4451875986.0,yfinance_info_static_sharesOutstanding,1,1,18920472940.5,,,,0,0,,,,,,,,,,0,,,0,
0013.HK,2021-09-06,2021-09-06,2021-09-03,2021-12-02,60,0.0,-0.16057832438979358,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,HUTCHMED (China) Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare||Drug Manufacturers - Specialty & Generic,,859751819.0,yfinance_info_static_sharesOutstanding,1,1,56485691884.54567,,,,0,0,,,,,,,,,,0,,,0,
002163.SZ,2021-09-06,2021-09-06,2021-09-03,2021-12-07,60,0.0,-0.11530538000616841,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Hainan Development Holdings Nanhai Co., Ltd.",Industrials,Engineering & Construction,Industrials||Engineering & Construction,,844957867.0,yfinance_info_static_sharesOutstanding,1,1,12311035864.329323,,,,0,0,,,,,,,,,,0,,,0,
002240.SZ,2021-09-06,2021-09-06,2021-09-03,2021-12-07,60,0.0,-0.13216559455246646,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen Chengxin Lithium Group Co., Ltd.",Basic Materials,Specialty Chemicals,Basic Materials||Specialty Chemicals,,915293872.0,yfinance_info_static_sharesOutstanding,1,1,57480454463.286194,,,,0,0,,,,,,,,,,0,,,0,
003012.SZ,2021-09-06,2021-09-06,2021-09-03,2021-12-07,60,0.0,-0.12827778242261267,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Guangdong Dongpeng Holdings Co., Ltd.",Industrials,Building Products & Equipment,Industrials||Building Products & Equipment,,1156981158.0,yfinance_info_static_sharesOutstanding,1,1,16325003742.162043,,,,0,0,,,,,,,,,,0,,,0,
0069.HK,2021-09-06,2021-09-06,2021-09-03,2021-12-02,60,0.0,-0.059180627358498716,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Shangri-La Asia Ltd.,Consumer Cyclical,Lodging,Consumer Cyclical||Lodging,,3560043201.0,yfinance_info_static_sharesOutstanding,1,1,23460685237.809483,,,,0,0,,,,,,,,,,0,,,0,
0522.HK,2021-09-06,2021-09-06,2021-09-03,2021-12-02,60,0.0,-0.1153444958220704,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,ASM Pacific Technology Ltd.,Technology,Semiconductor Equipment & Materials,Technology||Semiconductor Equipment & Materials,,417817783.0,yfinance_info_static_sharesOutstanding,1,1,40026944886.47868,,,,0,0,,,,,,,,,,1,,,1,
0551.HK,2021-09-06,2021-09-06,2021-09-03,2021-12-02,60,0.0,-0.1824907034389074,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Yue Yuen Industrial (Holdings) Ltd.,Consumer Cyclical,Footwear & Accessories,Consumer Cyclical||Footwear & Accessories,,1604430486.0,yfinance_info_static_sharesOutstanding,1,1,26023861381.245014,,,,0,0,,,,,,,,,,0,,,0,
2150.HK,2021-09-06,2021-09-06,2021-09-03,2021-12-02,60,0.0,-0.32392270760182584,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Nayuki Holdings Ltd.,Consumer Cyclical,Restaurants,Consumer Cyclical||Restaurants,,1705010647.0,yfinance_info_static_sharesOutstanding,1,1,22949443373.660995,,,,0,0,,,,,,,,,,1,,,1,
300083.SZ,2021-09-06,2021-09-06,2021-09-03,2021-12-07,60,0.0,-0.0744026776311224,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Guangdong Create Century Intelligent Equipment
Group Corporation Ltd.",Industrials,Specialty Industrial Machinery,Industrials||Specialty Industrial Machinery,,1664862589.0,yfinance_info_static_sharesOutstanding,1,1,24390236293.755325,,,,0,0,,,,,,,,,,0,,,0,
300832.SZ,2021-09-06,2021-09-06,2021-09-03,2021-12-07,60,0.0,-0.0405727690538914,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen New Industries Biomedical Engineering
Co., Ltd.",Healthcare,Medical Devices,Healthcare||Medical Devices,,785718785.0,yfinance_info_static_sharesOutstanding,1,1,36213778920.54117,,,,0,0,,,,,,,,,,0,,,0,
300888.SZ,2021-09-06,2021-09-06,2021-09-03,2021-12-07,60,0.0,0.034751939253805375,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Winner Medical Co., Ltd.",Healthcare,Medical Instruments & Supplies,Healthcare||Medical Instruments & Supplies,,582329808.0,yfinance_info_static_sharesOutstanding,1,1,33034738933.210144,,,,0,0,,,,,,,,,,0,,,0,
6969.HK,2021-09-06,2021-09-06,2021-09-03,2021-12-02,60,0.0,0.28908192919183406,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Smoore International Holdings Ltd.,Consumer Defensive,Tobacco,Consumer Defensive||Tobacco,,6195173711.0,yfinance_info_static_sharesOutstanding,1,1,249665495826.75757,,,,0,0,,,,,,,,,,0,,,0,
0857.HK,2022-12-05,2022-12-05,2022-12-02,2023-03-06,60,0.0,0.20728291971270885,1.0,Hang Seng Stock Connect China Enterprises Index,PetroChina Co. Ltd. - H Shares,Energy,Oil & Gas Integrated,Energy||Oil & Gas Integrated,,21098900000.0,yfinance_info_static_sharesOutstanding,1,1,75323071591.49646,,,,0,0,,,,,,,,,,0,,,0,
0881.HK,2022-12-05,2022-12-05,2022-12-02,2023-03-06,60,0.0,-0.10271543402248895,0.0,Hang Seng Stock Connect China Enterprises Index,Zhongsheng Group Holdings Ltd.,Consumer Cyclical,Auto & Truck Dealerships,Consumer Cyclical||Auto & Truck Dealerships,,2366993863.0,yfinance_info_static_sharesOutstanding,1,1,100242186486.30399,,,,0,0,,,,,,,,,,0,,,0,
2015.HK,2022-12-05,2022-12-05,2022-12-02,2023-03-06,60,0.0,0.22441436399588,1.0,Hang Seng Stock Connect China Enterprises Index,Li Auto Inc. - W,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical||Auto Manufacturers,,1689077687.0,yfinance_info_static_sharesOutstanding,1,1,136984197838.37198,,,,0,0,,,,,,,,,,0,,,0,
6690.HK,2022-12-05,2022-12-05,2022-12-02,2023-03-06,60,0.0,0.08300397015006844,1.0,Hang Seng Stock Connect China Enterprises Index,"Haier Smart Home Co., Ltd. - H Shares",Consumer Cyclical,"Furnishings, Fixtures & Appliances","Consumer Cyclical||Furnishings, Fixtures & Appliances",,2853587266.0,yfinance_info_static_sharesOutstanding,1,1,72195755652.6857,,,,0,0,,,,,,,,,,0,,,0,
000333.SZ,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,0.004498230340256537,1.0,Hang Seng Stock Connect China Enterprises Index,"Midea Group Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances","Consumer Cyclical||Furnishings, Fixtures & Appliances",,6955590651.0,yfinance_info_static_sharesOutstanding,1,1,448426937760.6813,,,,0,0,,,,,,,,,,0,,,0,
001323.SZ,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,0.00409189011167399,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"De Rucci Healthy Sleep Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances","Consumer Cyclical||Furnishings, Fixtures & Appliances",,435080764.0,yfinance_info_static_sharesOutstanding,1,1,12565923776.753853,,,,0,0,,,,,,,,,,0,,,0,
0762.HK,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,0.1030927640782684,1.0,Hang Seng Stock Connect China Enterprises Index,China Unicom (Hong Kong) Ltd.,Communication Services,Telecom Services,Communication Services||Telecom Services,,30598000000.0,yfinance_info_static_sharesOutstanding,1,1,178080365252.4948,,,,0,0,,,,,,,,,,0,,,0,
1735.HK,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,0.4152542790678917,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Central New Energy Holding Group Ltd.,Industrials,Engineering & Construction,Industrials||Engineering & Construction,,4224000000.0,yfinance_info_static_sharesOutstanding,1,1,24921600402.83203,,,,0,0,,,,,,,,,,0,,,0,
1942.HK,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,-0.022900742519207262,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,MOG Digitech Holdings Ltd.,Technology,Software - Infrastructure,Technology||Software - Infrastructure,,1372260578.0,yfinance_info_static_sharesOutstanding,1,1,1797661278.6586199,,,,0,0,,,,,,,,,,0,,,0,
301510.SZ,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,-0.03314922560947342,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Googol Technology Co., Ltd.",Technology,Electronic Components,Technology||Electronic Components,,400010000.0,yfinance_info_static_sharesOutstanding,1,1,13032326532.440186,,,,0,0,,,,,,,,,,0,,,0,
